,Date,ETVI 등급,ETVI 점수,ETF시장의 변동성,ETVI
302,2004-03-11,4(낮음),14.86968010126351,2.1236419677826737,15.800995196629628
303,2004-03-12,4(낮음),19.85050908124995,3.111840360685908,19.27869387530332
304,2004-03-15,4(낮음),17.282666522615024,2.7550844889843527,16.597258952972727
305,2004-03-16,4(낮음),15.831295474124698,1.8462765742645835,15.850498919458122
306,2004-03-17,4(낮음),19.600611874176774,2.6977162069503176,18.172293272940546
307,2004-03-18,5(매우낮음),9.534247526568459,0.936154942784536,5.355296285123511
308,2004-03-19,5(매우낮음),7.628453996124362,1.7722715075044497,11.04646237587317
309,2004-03-22,5(매우낮음),9.271747017332354,0.7596636570039993,6.148747299639007
310,2004-03-23,5(매우낮음),6.347632582363705,1.533148271325527,10.914327899222917
311,2004-03-24,5(매우낮음),7.873628354180386,1.1669224019663422,7.256343682947566
312,2004-03-25,5(매우낮음),6.160512810191369,1.1339835368119995,8.332726465318142
313,2004-03-26,5(매우낮음),7.6789751981784065,1.9268058053864554,10.78717619233975
314,2004-03-29,5(매우낮음),11.289974727852805,1.0554584479680356,5.981148428897112
315,2004-03-30,5(매우낮음),9.986275296075025,1.2712763739133017,8.928612764311364
316,2004-03-31,5(매우낮음),5.8321485848693,1.109739115297635,7.664155425986352
317,2004-04-01,5(매우낮음),6.738628658409025,1.271289048944589,7.451402766838235
318,2004-04-02,4(낮음),16.453623523101697,3.13851923398492,18.676967110491212
319,2004-04-05,4(낮음),13.614291160942752,2.8528531131154575,21.421915445780346
320,2004-04-06,4(낮음),20.55484899626166,1.9552394891962233,12.68377536857726
321,2004-04-07,4(낮음),18.679179160817096,3.156124998618279,18.374129979323563
322,2004-04-08,4(낮음),18.839897189225233,2.7966599481275187,16.86193810944136
323,2004-04-09,3(보통),32.387871392710665,4.726507667780389,31.87922185983451
324,2004-04-12,3(보통),25.822800897912686,3.9146647210320737,32.98345180302613
325,2004-04-13,3(보통),32.58054607377829,3.6358120769653866,30.05277417499776
326,2004-04-14,3(보통),30.097423015791843,4.174632267357423,34.95790101001558
327,2004-04-15,3(보통),24.467660486593456,3.8137828575604047,25.631481874308488
328,2004-04-16,3(보통),28.902521273924496,3.65214928593997,26.265252907578702
329,2004-04-19,3(보통),31.052018966729335,5.046960980350204,32.653914280624754
330,2004-04-20,3(보통),30.9725509079346,4.5756795504372105,29.082228517436032
331,2004-04-21,3(보통),26.11555880449086,4.237114974167535,28.81465847320936
332,2004-04-22,3(보통),23.197747606048715,4.920991856693274,30.26477403198919
333,2004-04-23,3(보통),26.188409856531173,3.704641246512544,33.4018139503273
334,2004-04-26,3(보통),27.66062147891612,3.07524961248784,23.56365608985644
335,2004-04-27,3(보통),26.537079175860566,3.9541472458016385,25.762523018226787
336,2004-04-28,3(보통),24.873724689752528,4.314360015069291,32.86338440025889
337,2004-04-29,3(보통),29.875478577362216,3.897577492513532,29.623719175607402
338,2004-04-30,3(보통),33.174765501034095,3.9384720749705227,23.039098593546235
339,2004-05-03,3(보통),28.178544412829723,3.1274522839898387,23.694482027774022
340,2004-05-04,2(높음),35.476652600762414,7.457619164737484,40.02814687116016
341,2004-05-06,2(높음),55.0375067405395,8.436127823658493,54.33214685619826
342,2004-05-07,2(높음),47.65988756476932,6.995775177361414,48.022443833397084
343,2004-05-10,2(높음),52.267359016034696,9.013435213286463,50.310373564407605
344,2004-05-11,2(높음),57.600315961982716,8.85962565676138,56.73675164110654
345,2004-05-12,2(높음),39.81719083079747,9.166728418134905,60.542713130494114
346,2004-05-13,2(높음),53.169737067822076,6.281473748490717,47.37769139779299
347,2004-05-14,2(높음),50.41861345132483,4.1848671402223445,35.377522100765866
348,2004-05-17,2(높음),35.25189882542346,5.276669930938236,37.87835183810557
349,2004-05-18,3(보통),30.813106437093403,4.966741838543871,28.10552762740177
350,2004-05-19,3(보통),30.208784400576402,3.6398699949277207,26.985162990001154
351,2004-05-20,4(낮음),17.961757273329468,2.2120595600828064,17.669312163503662
